Depth	Num Nodes	Branching
0	1	2
1	2	2
2	4	2.5
3	10	2.4
4	24	2.25
5	54	2
6	108	2.01852
7	218	2.16514
8	472	2.1822
9	1030	2.13981
10	2204	2.11706
11	4666	2.11745
12	9880	2.13016
13	21046	2.13684
14	44972	2.13311
15	95930	2.1288
16	204216	2.1286
17	434694	2.13019
18	925980	2.13108
19	1973338	2.13083
20	4204856	2.13029
21	8957558	2.13015
22	19080940	2.13033
23	40648730	2.13047
24	86600984	2.13046
25	184499846	2.13039
Time limit reached
